,Price,SQFT,rooms,Des
1097,"₹ 3.8 Cr
₹ 14,615/sq.ft.","2,600 sq.ft.
(242 sq.m.) Built-up Area","3 BHK
4 Baths",3 BHK Residential Apartment in C-Scheme
1098,"₹ 65 Lac
₹ 18,055/sq.ft.","360 sq.ft.
(33 sq.m.) Carpet Area","1 BHK
1 Bath",1 BHK Independent Builder Floor in Varun Path
1099,"₹ 52 Lac
₹ 3,969/sq.ft.","1,310 sq.ft.
(122 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Vaishali Nagar
1100,"₹ 65 Lac
₹ 4,062/sq.ft.","1,600 sq.ft.
(149 sq.m.) Built-up Area","3 BHK
3 Baths",3 BHK Independent Builder Floor in Vaishali Nagar
1101,"₹ 2 Cr
₹ 8,695/sq.ft.","2,300 sq.ft.
(214 sq.m.) Carpet Area","5 BHK
4 Baths",5 BHK Residential Apartment in Gopalbari
1102,"₹ 40 Lac
₹ 6,980/sq.ft.","573 sq.ft.
(53 sq.m.) Plot Area","4 BHK
3 Baths",4 Bedroom Independent House in Jaisingh Pura Khor
1103,"₹ 40 Lac
₹ 6,214/sq.ft.","643 sq.ft.
(60 sq.m.) Carpet Area","2 BHK
2 Baths",2 BHK Residential Apartment in Ajmer Road
1104,"₹ 1.35 Cr
₹ 7,500/sq.ft.","1,800 sq.ft.
(167 sq.m.) Plot Area","6 BHK
3 Baths",6 Bedroom Independent House in hari nagar
1105,"₹ 4 Lac
₹ 444/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area",,Residential land / Plot in Chaksu
1106,"₹ 19.5 Lac
₹ 4,200/sq.ft.","375 sq.ft.
(35 sq.m.) Carpet Area","1 RK
1 Bath",(1 RK) Studio Apartment in Jagatpura
1107,"₹ 20 Lac
₹ 1,481/sq.ft.","1,350 sq.ft.
(125 sq.m.) Plot Area",,Residential land / Plot in Janki Vihar Colony Sambhar
1108,"₹ 18 Lac
₹ 1,333/sq.ft.","1,350 sq.ft.
(125 sq.m.) Plot Area",,"Residential land / Plot in Janki Vihar Colony, Sambhar"
1109,"₹ 70 Lac
₹ 3,181/sq.ft.","2,200 sq.ft.
(204 sq.m.) Built-up Area","3 BHK
3 Baths",3 Bedroom Independent House in Gandhi Path
1110,"₹ 12 Lac
₹ 2,694/sq.ft.","445 sq.ft.
(41 sq.m.) Super built-up Area","1 BHK
1 Bath",1 BHK Residential Apartment in Jhotwara
1111,"₹ 18 Lac
₹ 2,689/sq.ft.","669 sq.ft.
(62 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Jhotwara
1112,"₹ 25 Lac
₹ 2,778/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area","3 BHK
2 Baths","3 Bedroom Independent House in Balaji Vihar, Machwa, Kalwar Road"
1113,"₹ 31.45 Lac
₹ 2,500/sq.ft.","1,258 sq.ft.
(117 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Jaisinghpura
1114,"₹ 8.5 Lac
₹ 774/sq.ft.","1,098 sq.ft.
(102 sq.m.) Plot Area",,Residential land / Plot in Phagi Road
1115,"₹ 30 Lac
₹ 1,111/sq.ft.","2,700 sq.ft.
(251 sq.m.) Plot Area",,Residential land / Plot in Raja Rampura
1116,"₹ 15.31 Lac
₹ 1,531/sq.ft.","1,500 sq.ft.
(139 sq.m.) Super built-up Area","3 BHK
2 Baths","3 BHK Residential Apartment in Mangalam City,Kalwar Road,Jhotwara,"
1117,"₹ 32 Lac
₹ 2,500/sq.ft.","1,000 sq.ft.
(93 sq.m.) Carpet Area","2 BHK
2 Baths",2 BHK Residential Apartment in Jaisinghpura
1118,"₹ 40 Lac
₹ 5,148/sq.ft.","777 sq.ft.
(72 sq.m.) Plot Area","2 BHK
2 Baths",2 Bedroom Independent House in Paldi Meena
1119,"₹ 50 Lac
₹ 5,555/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area","3 BHK
2 Baths",3 Bedroom Independent House in Ajmer Road
1120,"₹ 55 Lac
₹ 6,471/sq.ft.","850 sq.ft.
(79 sq.m.) Built-up Area","3 BHK
3 Baths",3 BHK Independent Builder Floor in Chitrakoot
1121,"₹ 40 Lac
₹ 2,735/sq.ft.","1,462 sq.ft.
(136 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Independent Builder Floor in Pashupatinathnagar
1122,"₹ 30 Lac
₹ 1,394/sq.ft.","2,152 sq.ft.
(200 sq.m.) Plot Area",,Residential land / Plot in Adity Vihar
1123,"₹ 1.1 Cr
₹ 4,564/sq.ft.","2,410 sq.ft.
(224 sq.m.) Super built-up Area","4 BHK
4 Baths",4 BHK Residential Apartment in Shastri Nagar
1124,"₹ 4.6 Lac
₹ 475/sq.ft.","970 sq.ft.
(90 sq.m.) Plot Area",,Residential land / Plot in Chaksu
1125,"₹ 48 Lac
₹ 3,429/sq.ft.","1,400 sq.ft.
(130 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Mansarovar
1126,"₹ 37 Lac
₹ 3,162/sq.ft.","1,170 sq.ft.
(109 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Kalwar Road
1127,"₹ 28 Lac
₹ 2,917/sq.ft.","960 sq.ft.
(89 sq.m.) Built-up Area","2 BHK
1 Bath",2 BHK Residential Apartment in Tonk Road
1128,"₹ 20 Lac
₹ 3,566/sq.ft.","561 sq.ft.
(52 sq.m.) Built-up Area","1 BHK
1 Bath",1 BHK Residential Apartment in Ajmer Road
1129,"₹ 80 Lac
₹ 6,956/sq.ft.","1,150 sq.ft.
(107 sq.m.) Carpet Area","2 BHK
2 Baths",2 BHK Residential Apartment in Behind wtp
1130,"₹ 15 Lac
₹ 1,548/sq.ft.","968 sq.ft.
(90 sq.m.) Plot Area",,Residential land / Plot in Gadota
1131,"₹ 8 Cr
₹ 39,324/sq.ft.","2,034 sq.ft.
(189 sq.m.) Plot Area","10 BHK
10 Baths",10 Bedroom Independent House in Malviya Nagar
1132,"₹ 5.04 Cr
₹ 18,581/sq.ft.","2,712 sq.ft.
(252 sq.m.) Plot Area",,Residential land / Plot in Sitapura Industrial Area
1133,"₹ 62 Lac
₹ 9,185/sq.ft.","675 sq.ft.
(63 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Grand Sikar Road
1134,"₹ 1.75 Cr
₹ 8,426/sq.ft.","2,076 sq.ft.
(193 sq.m.) Carpet Area","9 BHK
4 Baths",9 BHK Residential Apartment in Murlipura
1135,"₹ 51 Lac
₹ 2,724/sq.ft.","1,872 sq.ft.
(174 sq.m.) Plot Area",,Residential land / Plot in Mahapura
1136,"₹ 50 Lac
₹ 3,572/sq.ft.","1,400 sq.ft.
(130 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Saraswati Nagar
1137,"₹ 7.5 Lac
₹ 556/sq.ft.","1,350 sq.ft.
(125 sq.m.) Plot Area",,Residential land / Plot in Jobner
1138,"₹ 7.5 Cr
₹ 15,151/sq.ft.","4,950 sq.ft.
(460 sq.m.) Plot Area","5 BHK
1 Bath",5 Bedroom Independent House in Sansar Chandra Road
1139,"₹ 40 Lac
₹ 2,857/sq.ft.","1,400 sq.ft.
(130 sq.m.) Carpet Area","2 BHK
2 Baths",2 BHK Independent Builder Floor in Chitrakoot
1140,"₹ 48 Lac
₹ 4,000/sq.ft.","1,200 sq.ft.
(111 sq.m.) Carpet Area","3 BHK
3 Baths",3 BHK Residential Apartment in Amer
1141,"₹ 47 Lac
₹ 2,564/sq.ft.","1,833 sq.ft.
(170 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Jagatpura
1142,"₹ 25 Lac
₹ 5,555/sq.ft.","450 sq.ft.
(42 sq.m.) Carpet Area","3 BHK
2 Baths",3 BHK Independent Builder Floor in Niwaru Road
1143,"₹ 65 Lac
₹ 4,334/sq.ft.","1,500 sq.ft.
(139 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Ved Villa Colony
1144,"₹ 7 Lac
₹ 637/sq.ft.","1,100 sq.ft.
(102 sq.m.) Plot Area",,Residential land / Plot in Chaksu
1145,"₹ 60 Lac
₹ 1,667/sq.ft.","3,600 sq.ft.
(334 sq.m.) Plot Area",,Residential land / Plot in Mohana Mandi
1146,"₹ 75 Lac
₹ 4,166/sq.ft.","1,800 sq.ft.
(167 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Dcm
1147,"₹ 96 Lac
₹ 8,000/sq.ft.","1,200 sq.ft.
(111 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in C-Scheme
1148,"₹ 90 Lac
₹ 2,198/sq.ft.","4,095 sq.ft.
(380 sq.m.) Plot Area",,Residential land / Plot in Mahindra City
1149,"₹ 99 Lac
₹ 36,397/sq.ft.","272 sq.ft.
(25 sq.m.) Plot Area",,Residential land / Plot in Goliyawas
1150,"₹ 1.3 Cr
₹ 55,715/sq.ft.","233 sq.ft.
(22 sq.m.) Plot Area","4 BHK
3 Baths","4 Bedroom Independent House in khatipura road,jhotwara"
1151,"₹ 4.5 Cr
₹ 40,000/sq.ft.","1,125 sq.ft.
(105 sq.m.) Plot Area","5 BHK
3 Baths",5 Bedroom Independent House in Shastri Nagar
1152,"₹ 40 Lac
₹ 2,352/sq.ft.","1,700 sq.ft.
(158 sq.m.) Carpet Area","3 BHK
2 Baths","3 BHK Residential Apartment in Murlipura, jamunapuri"
1153,"₹ 1.2 Cr
₹ 5,669/sq.ft.","1,800 sq.ft.
(167 sq.m.) Plot Area",,Residential land / Plot in Jaswant Nagar
1154,"₹ 77 Lac
₹ 4,873/sq.ft.","1,580 sq.ft.
(147 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Sanganer
1155,"₹ 39 Lac
₹ 9,750/sq.ft.","400 sq.ft.
(37 sq.m.) Plot Area",3 Baths,Independent House in Kalwar Road
1156,"₹ 40 Lac
₹ 3,956/sq.ft.","1,011 sq.ft.
(94 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Grandeur Eden Garden Group Housing Complex
1157,"₹ 54 Lac
₹ 4,000/sq.ft.","1,124 sq.ft.
(104 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Mansarovar Extension
1158,"₹ 40 Lac
₹ 2,962/sq.ft.","1,350 sq.ft.
(125 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Ajmer Road
1159,"₹ 2 Lac
₹ 222/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area",,"Residential land / Plot in Bhaskar Peradise Phase-1, Ghunsi ,"
1160,"₹ 1.25 Cr
₹ 13,889/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area","3 BHK
4 Baths",3 Bedroom Independent House in Khatipura
1161,"₹ 38 Lac
₹ 6,761/sq.ft.","562 sq.ft.
(52 sq.m.) Plot Area","3 BHK
2 Baths",3 Bedroom Independent House in Kalwar Road
1162,"₹ 35 Lac
₹ 3,086/sq.ft.","1,134 sq.ft.
(105 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Tonk Road
1163,"₹ 4 Lac
₹ 556/sq.ft.","720 sq.ft.
(67 sq.m.) Plot Area",,Residential land / Plot in Chaksu
1164,"₹ 52 Lac
₹ 5,738/sq.ft.","906 sq.ft.
(84 sq.m.) Carpet Area","3 BHK
2 Baths",3 BHK Residential Apartment in Pratap Nagar
1165,"₹ 40.5 Lac
₹ 3,521/sq.ft.","1,150 sq.ft.
(107 sq.m.) Carpet Area","3 BHK
2 Baths",3 BHK Independent Builder Floor in Mohanpura
1166,"₹ 32 Lac
₹ 7,322/sq.ft.","437 sq.ft.
(41 sq.m.) Carpet Area","2 BHK
2 Baths",2 BHK Residential Apartment in Ajmer Road
1167,"₹ 45 Lac
₹ 4,130/sq.ft.","1,089 sq.ft.
(101 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Mansarovar Extension
1168,"₹ 50 Lac
₹ 3,484/sq.ft.","1,435 sq.ft.
(133 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Ajmer Road
1169,"₹ 16 Lac
₹ 888/sq.ft.","1,800 sq.ft.
(167 sq.m.) Plot Area",,Residential land / Plot in nh 08 sahapura
1170,"₹ 2.4 Lac
₹ 775/sq.ft.","261 sq.ft.
(24 sq.m.) Plot Area",,Residential land / Plot in Diggi Road
1171,"₹ 26.5 Lac
₹ 2,523/sq.ft.","1,050 sq.ft.
(98 sq.m.) Built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Kamla Nehru Nagar
1172,"₹ 24.3 Lac
₹ 1,000/sq.ft.","2,430 sq.ft.
(226 sq.m.) Plot Area",,"Residential land / Plot in V- Block, Ganesh Vihar, Sikar Road"
1173,"₹ 1.5 Cr
₹ 2,778/sq.ft.","5,400 sq.ft.
(502 sq.m.) Plot Area",,"Residential land / Plot in maa hinglaj nagar b,dhawas"
1174,"₹ 26 Lac
₹ 1,925/sq.ft.","1,350 sq.ft.
(125 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Kalwar Road
1175,"₹ 16 Lac
₹ 2,133/sq.ft.","750 sq.ft.
(70 sq.m.) Built-up Area","2 BHK
2 Baths",2 BHK Independent Builder Floor in Bindayaka
1176,"₹ 45 Lac
₹ 3,515/sq.ft.","1,280 sq.ft.
(119 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Gandhi Path
1177,"₹ 40 Lac
₹ 2,676/sq.ft.","1,495 sq.ft.
(139 sq.m.) Built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Ajmer Road
1178,"₹ 75 Lac
₹ 4,876/sq.ft.","1,538 sq.ft.
(143 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Shanthi Nagar
1179,"₹ 29 Lac
₹ 2,625/sq.ft.","1,200 sq.ft.
(111 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Independent Builder Floor in Shiv Shankar Nagar
1180,"₹ 45 Lac
₹ 3,214/sq.ft.","1,400 sq.ft.
(130 sq.m.) Carpet Area","3 BHK
2 Baths",3 BHK Residential Apartment in Patarkar Colony Mansarover Jaipur
1181,"₹ 2.25 Cr
₹ 5,488/sq.ft.","4,554 sq.ft.
(423 sq.m.) Plot Area","2 BHK
1 Bath",2 Bedroom Independent House in P And T Colony Shanti Nagar Khatipura Road
1182,"₹ 29 Lac
₹ 2,761/sq.ft.","1,050 sq.ft.
(98 sq.m.) Built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Vishnupuri
1183,"₹ 50 Lac
₹ 2,777/sq.ft.","1,800 sq.ft.
(167 sq.m.) Plot Area",,Residential land / Plot in Chokhi Dhani
1184,"₹ 25 Lac
₹ 2,083/sq.ft.","1,200 sq.ft.
(111 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Krishna Sagar Colony
1185,"₹ 31 Lac
₹ 2,818/sq.ft.","1,100 sq.ft.
(102 sq.m.) Built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Lalarpura
1186,"₹ 25 Lac
₹ 3,333/sq.ft.","750 sq.ft.
(70 sq.m.) Super built-up Area","2 BHK
1 Bath",2 BHK Independent Builder Floor in Chaura Rasta
1187,"₹ 28 Lac
₹ 2,651/sq.ft.","1,056 sq.ft.
(98 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Jhotwara
1188,"₹ 62 Lac
₹ 6,889/sq.ft.","900 sq.ft.
(84 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Adarsh Nagar
1189,"₹ 48 Lac
₹ 3,764/sq.ft.","1,275 sq.ft.
(118 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Patrakar Colony
1190,"₹ 3.75 Cr
₹ 2,323/sq.ft.","16,145 sq.ft.
(1500 sq.m.) Plot Area",,Residential land / Plot in jhai
1191,"₹ 1.65 Cr
₹ 55,000/sq.ft.","300 sq.ft.
(28 sq.m.) Carpet Area","4 BHK
5 Baths",4 BHK Independent Builder Floor in Sector-8 Mansarovar
1192,"₹ 65 Lac
₹ 6,701/sq.ft.","1,150 sq.ft.
(107 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Jeevan Chaya
1193,"₹ 12 Lac
₹ 1,090/sq.ft.","1,100 sq.ft.
(102 sq.m.) Plot Area",,Residential land / Plot in Bhilwara road
1194,"₹ 42 Lac
₹ 2,761/sq.ft.","1,521 sq.ft.
(141 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Niwaru Road
1195,"₹ 2.8 Lac
₹ 312/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area",,Residential land / Plot in Boraj
1196,"₹ 32 Lac
₹ 3,200/sq.ft.","1,000 sq.ft.
(93 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Murlipura
1197,"₹ 45 Lac
₹ 3,215/sq.ft.","1,400 sq.ft.
(130 sq.m.) Built-up Area","3 BHK
2 Baths",3 BHK Independent Builder Floor in Govindpura Kardhani Scheme
1198,"₹ 75 Lac
₹ 4,167/sq.ft.","1,800 sq.ft.
(167 sq.m.) Plot Area","4 BHK
3 Baths",4 Bedroom Independent House in laxmi nagar harnathpura
1199,"₹ 45 Lac
₹ 360/sq.ft.","12,489 sq.ft.
(1160 sq.m.) Built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Sector-29 Pratap Nagar
1200,"₹ 75 Lac
₹ 6,122/sq.ft.","1,225 sq.ft.
(114 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Triveni Nagar
1201,"₹ 25 Lac
₹ 2,250/sq.ft.","1,111 sq.ft.
(103 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Shivdaspura
1202,"₹ 50 Lac
₹ 3,152/sq.ft.","1,586 sq.ft.
(147 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Ajmer Road
1203,"₹ 60 Lac
₹ 4,316/sq.ft.","1,390 sq.ft.
(129 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Jagatpura
1204,"₹ 60 Lac
₹ 4,800/sq.ft.","1,250 sq.ft.
(116 sq.m.) Carpet Area","3 BHK
2 Baths",3 BHK Residential Apartment in Sikar road
1205,"₹ 3.8 Lac
₹ 1,173/sq.ft.","324 sq.ft.
(30 sq.m.) Plot Area",,Residential land / Plot in Gokul Enclave Nr Mahindra Sez
1206,"₹ 35.5 Lac
₹ 2,700/sq.ft.","1,315 sq.ft.
(122 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Jagatpura
1207,"₹ 24 Lac
₹ 2,181/sq.ft.","1,100 sq.ft.
(102 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Independent Builder Floor in Krishna Sagar Colony
1208,"₹ 3 Lac
₹ 333/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area",,Residential land / Plot in Chaksu
1209,"₹ 34 Lac
₹ 2,720/sq.ft.","1,250 sq.ft.
(116 sq.m.) Super built-up Area","3 BHK
2 Baths","3 BHK Residential Apartment in Dadu Dayal Nagar ,Muhana Mandi Road ,Jaipur"
