,Price,SQFT,rooms,Des
0,"₹ 1.89 Cr
₹ 10,345/sq.ft.","1,827 sq.ft.
(170 sq.m.) Super built-up Area","9 BHK
4 Baths",9 BHK Independent Builder Floor in Sector 1 Malviya Nagar
1,"₹ 4 Lac
₹ 444/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area",,Residential land / Plot in Jaipur Rajasthan
2,"₹ 35 Lac
₹ 1,648/sq.ft.","2,124 sq.ft.
(197 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
3,"₹ 40 Lac
₹ 2,963/sq.ft.","1,350 sq.ft.
(125 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Independent Builder Floor in Dadudayal nagar
4,"₹ 55 Lac
₹ 3,142/sq.ft.","1,750 sq.ft.
(163 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Ajmer Road
5,"₹ 2.15 Cr
₹ 193/sq.ft.","111,627 sq.ft.
(10370 sq.m.) Plot Area",,Residential land / Plot in bhurtiya village
6,"₹ 15 Lac
₹ 1,161/sq.ft.","1,291 sq.ft.
(120 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
7,"₹ 29.52 Lac
₹ 2,450/sq.ft.","1,205 sq.ft.
(112 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Ajmer Road
8,"₹ 40 Lac
₹ 5,714/sq.ft.","700 sq.ft.
(65 sq.m.) Plot Area",,Residential land / Plot in Pratap Nagar
9,"₹ 25 Lac
₹ 1,389/sq.ft.","1,800 sq.ft.
(167 sq.m.) Built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Dada Gurudev Nagar
10,"₹ 15.5 Lac
₹ 2,167/sq.ft.","715 sq.ft.
(66 sq.m.) Built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Ajmer Road
11,"₹ 21.55 Lac
₹ 17,528/sq.ft.","122 sq.ft.
(11 sq.m.) Plot Area",,Residential land / Plot in Patrakar Colony
12,"₹ 3 Cr
₹ 7,500/sq.ft.","4,000 sq.ft.
(372 sq.m.) Plot Area","5 BHK
6 Baths",5 Bedroom Independent House in Gandhi Path
13,"₹ 4.95 Lac
₹ 550/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area",,Residential land / Plot in mehalan Ajmer Road
14,"₹ 1.2 Cr
₹ 9,334/sq.ft.","1,499 sq.ft.
(139 sq.m.) Plot Area","5 BHK
6 Baths",5 Bedroom Independent House in Mansarovar Extension
15,"₹ 2.1 Cr
₹ 1,666/sq.ft.","12,600 sq.ft.
(1171 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
16,"₹ 17 Lac
₹ 2,905/sq.ft.","585 sq.ft.
(54 sq.m.) Plot Area","3 BHK
2 Baths",3 Bedroom Independent House in Vatika Road
17,"₹ 28 Lac
₹ 2,666/sq.ft.","1,050 sq.ft.
(98 sq.m.) Carpet Area","3 BHK
2 Baths",3 BHK Residential Apartment in Tara Nagar
18,"₹ 27 Lac
₹ 2,727/sq.ft.","990 sq.ft.
(92 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Mansarovar
19,"₹ 50 Lac
₹ 4,000/sq.ft.","1,250 sq.ft.
(116 sq.m.) Built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Chitrakoot
20,"₹ 21 Cr
₹ 36,458/sq.ft.","5,760 sq.ft.
(535 sq.m.) Plot Area","5 BHK
6 Baths",5 Bedroom Independent House in Chitrakoot
21,"₹ 78 Lac
₹ 7,879/sq.ft.","990 sq.ft.
(92 sq.m.) Plot Area","3 BHK
4 Baths",3 Bedroom Independent House in Mansarovar
22,"₹ 55 Lac
₹ 3,928/sq.ft.","1,400 sq.ft.
(130 sq.m.) Carpet Area","3 BHK
3 Baths",3 BHK Residential Apartment in Malviya Nagar
23,"₹ 14 Lac
₹ 622/sq.ft.","2,250 sq.ft.
(209 sq.m.) Plot Area",,Residential land / Plot in Shivdaspura
24,"₹ 40 Lac
₹ 3,636/sq.ft.","1,100 sq.ft.
(102 sq.m.) Built-up Area","3 BHK
3 Baths",3 BHK Independent Builder Floor in Malviya Nagar
25,"₹ 31 Lac
₹ 2,583/sq.ft.","1,200 sq.ft.
(111 sq.m.) Carpet Area","3 BHK
2 Baths",3 BHK Independent Builder Floor in Gandhi Path
26,"₹ 63 Lac
₹ 7,446/sq.ft.","846 sq.ft.
(79 sq.m.) Carpet Area","3 BHK
2 Baths",3 BHK Residential Apartment in Siddharth Nagar
27,"₹ 35 Lac
₹ 2,000/sq.ft.","1,944 sq.ft.
(181 sq.m.) Plot Area",,Residential land / Plot in Hathoj
28,"₹ 60 Lac
₹ 3,779/sq.ft.","1,587 sq.ft.
(147 sq.m.) Plot Area",,Residential land / Plot in Kartarpura
29,"₹ 20 Lac
₹ 2,000/sq.ft.","1,000 sq.ft.
(93 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Mahindra City
30,"₹ 17.86 Lac
₹ 2,996/sq.ft.","596 sq.ft.
(55 sq.m.) Carpet Area","2 BHK
2 Baths",2 BHK Independent Builder Floor in Gandhi Path
31,"₹ 2.8 Lac
₹ 311/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area",,Residential land / Plot in Chaksu
32,"₹ 32 Lac
₹ 1,143/sq.ft.","2,799 sq.ft.
(260 sq.m.) Plot Area",,Residential land / Plot in Mahindra City
33,"₹ 1.84 Cr
₹ 8,761/sq.ft.","2,100 sq.ft.
(195 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Tilak Nagar
34,"₹ 65 Lac
₹ 8,397/sq.ft.","774 sq.ft.
(72 sq.m.) Plot Area","4 BHK
3 Baths",4 Bedroom Independent House in Mansarovar
35,"₹ 95 Lac
₹ 5,900/sq.ft.","1,610 sq.ft.
(150 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Nemi Nagar
36,"₹ 5 Lac
₹ 514/sq.ft.","972 sq.ft.
(90 sq.m.) Plot Area",,Residential land / Plot in VKIA
37,"₹ 4.95 Lac
₹ 279/sq.ft.","1,776 sq.ft.
(165 sq.m.) Plot Area",,Residential land / Plot in Tonk Road
38,"₹ 12 Lac
₹ 1,201/sq.ft.","999 sq.ft.
(93 sq.m.) Plot Area","2 BHK
1 Bath",2 Bedroom Independent House in Jairampura
39,"₹ 22 Lac
₹ 1,222/sq.ft.","1,800 sq.ft.
(167 sq.m.) Plot Area",,Residential land / Plot in Bindayaka
40,"₹ 25 Lac
₹ 4,166/sq.ft.","600 sq.ft.
(56 sq.m.) Super built-up Area","1 BHK
1 Bath",1 BHK Residential Apartment in Nirman Nagar
41,"₹ 40 Lac
₹ 2,051/sq.ft.","1,950 sq.ft.
(181 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
42,"₹ 32 Lac
₹ 2,461/sq.ft.","1,300 sq.ft.
(121 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Kalwar Road
43,"₹ 10 Lac
₹ 555/sq.ft.","1,800 sq.ft.
(167 sq.m.) Plot Area",,Residential land / Plot in Sambhar
44,"₹ 75 Lac
₹ 4,358/sq.ft.","1,950 sq.ft.
(181 sq.m.) Carpet Area","3 BHK
3 Baths",3 BHK Residential Apartment in Ambabari
45,"₹ 40 Lac
₹ 4,211/sq.ft.","949 sq.ft.
(88 sq.m.) Plot Area","4 BHK
1 Bath",4 Bedroom Independent House in RAMNAGAR EXTENENSION
46,"₹ 29 Lac
₹ 1,933/sq.ft.","1,500 sq.ft.
(139 sq.m.) Built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Jaisinghpura
47,"₹ 32 Lac
₹ 2,666/sq.ft.","1,200 sq.ft.
(111 sq.m.) Carpet Area","3 BHK
2 Baths",3 BHK Independent Builder Floor in Ramnagariya
48,"₹ 2 Lac
₹ 222/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area",,Residential land / Plot in Diggi Malpura Rd
49,"₹ 30 Lac
₹ 583/sq.ft.","5,148 sq.ft.
(478 sq.m.) Plot Area",,Residential land / Plot in Agra Road
50,"₹ 35.5 Lac
₹ 2,378/sq.ft.","1,493 sq.ft.
(139 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Jaisinghpura
51,"₹ 25.8 Lac
₹ 1,886/sq.ft.","1,368 sq.ft.
(127 sq.m.) Plot Area",,Residential land / Plot in Mahapura
52,"₹ 46 Lac
₹ 2,453/sq.ft.","1,875 sq.ft.
(174 sq.m.) Carpet Area","3 BHK
3 Baths",3 BHK Residential Apartment in Ajmer Road
53,"₹ 11.6 Lac
₹ 2,109/sq.ft.","550 sq.ft.
(51 sq.m.) Carpet Area","2 BHK
1 Bath",2 BHK Residential Apartment in Mozamabad
54,"₹ 1.65 Cr
₹ 9,307/sq.ft.","1,772 sq.ft.
(165 sq.m.) Plot Area","5 BHK
4 Baths",5 Bedroom Independent House in Rajat Path
