,apt_name,apt_rent_month,BHK,sq_ft,description
7774,,"₹ 45 Lac
₹ 3,913/sq.ft.","3 BHK
3 Baths","1,150 sq.ft.
(107 sq.m.) Built-up Area",3 Bedroom Independent House in Chitrakoot
7775,,"₹ 80 Lac
₹ 9,876/sq.ft.",,"810 sq.ft.
(75 sq.m.) Plot Area",Residential land / Plot in Mansarovar Extension
7776,,"₹ 50 Lac
₹ 5,000/sq.ft.","2 BHK
1 Bath","1,000 sq.ft.
(93 sq.m.) Built-up Area",2 Bedroom Independent House in Jagatpura
7777,,"₹ 60 Lac
₹ 6,666/sq.ft.","4 BHK
2 Baths","900 sq.ft.
(84 sq.m.) Plot Area",4 Bedroom Independent House in Vaishali Nagar
7778,Kedia Anant Villas,"₹ 28 Lac
₹ 5,870/sq.ft.","2 BHK
2 Baths","477 sq.ft.
(44 sq.m.) Plot Area","2 Bedroom Independent House in Vaishali Nagar, Jaipur."
7779,,"₹ 6 Cr
₹ 23,297/sq.ft.","6 BHK
5 Baths","2,790 sq.ft.
(259 sq.m.) Plot Area",6 Bedroom Independent House in Vidhyut Nagar
7780,,"₹ 28,000
₹ 148/sq.ft.","6 BHK
5 Baths","148 sq.ft.
(14 sq.m.) Plot Area",6 Bedroom Independent House in Sector-3 Jawahar Nagar
7781,,"₹ 16 Lac
₹ 1,777/sq.ft.","2 BHK
1 Bath","900 sq.ft.
(84 sq.m.) Plot Area",2 Bedroom Independent House in Tonk Road
7782,,Price on Request,,"900 sq.ft.
(84 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
7783,,"₹ 12 Lac
₹ 1,714/sq.ft.","3 BHK
1 Bath","700 sq.ft.
(65 sq.m.) Plot Area",3 Bedroom Independent House in Diggi Road
7784,Upasana Raj Mansion,"₹ 75 Lac
₹ 4,518/sq.ft.","3 BHK
3 Baths","1,660 sq.ft.
(154 sq.m.) Super built-up Area",3 BHK Residential Apartment in Bani Park
7785,,"₹ 1.25 Cr
₹ 10,162/sq.ft.","2 BHK
1 Bath","1,230 sq.ft.
(114 sq.m.) Plot Area",2 Bedroom Independent House in Triveni Nagar
7786,Vatika Infotech City,"₹ 13 Lac
₹ 802/sq.ft.",,"1,620 sq.ft.
(151 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
7787,,"₹ 39.06 Lac
₹ 2,000/sq.ft.",,"1,953 sq.ft.
(181 sq.m.) Plot Area",Residential land / Plot in Agra Road
7788,,"₹ 1.15 Cr
₹ 10,222/sq.ft.","3 BHK
4 Baths","1,125 sq.ft.
(105 sq.m.) Plot Area",3 Bedroom Independent House in Nirman Nagar
7789,Nirman Vaibhav Residency,"₹ 32 Lac
₹ 2,461/sq.ft.","3 BHK
3 Baths","1,300 sq.ft.
(121 sq.m.) Super built-up Area",3 BHK Residential Apartment in Gandhi Path
7790,,"₹ 7 Lac
₹ 291/sq.ft.",,"2,403 sq.ft.
(223 sq.m.) Plot Area",Residential land / Plot in Tonk Road
7791,,"₹ 43.32 Lac
₹ 2,889/sq.ft.",,"1,499 sq.ft.
(139 sq.m.) Plot Area",Residential land / Plot in Surya Nagar
7792,,"₹ 30 Lac
₹ 2,415/sq.ft.",,"1,242 sq.ft.
(115 sq.m.) Plot Area",Residential land / Plot in Sanganer
7793,,"₹ 1.4 Cr
₹ 3,500/sq.ft.","17 BHK
11 Baths","4,000 sq.ft.
(372 sq.m.) Plot Area",17 Bedroom Independent House in Mansarovar
7794,,"₹ 69 Lac
₹ 3,952/sq.ft.",,"1,746 sq.ft.
(162 sq.m.) Plot Area",Residential land / Plot in Jagatpura
7795,,"₹ 7 Cr
₹ 16,726/sq.ft.","6 BHK
7 Baths","4,185 sq.ft.
(389 sq.m.) Plot Area",6 Bedroom Independent House in Shyam Nagar
7796,,"₹ 41 Lac
₹ 2,877/sq.ft.",,"1,425 sq.ft.
(132 sq.m.) Plot Area",Residential land / Plot in Dadi Ka Phatak
7797,,"₹ 45 Lac
₹ 33,750/sq.ft.","6 BHK
3 Baths","133 sq.ft.
(12 sq.m.) Plot Area",6 Bedroom Independent House in Goner Road
7798,,"₹ 24.9 Lac
₹ 3,547/sq.ft.","3 BHK
2 Baths","702 sq.ft.
(65 sq.m.) Plot Area",3 Bedroom Independent House in Tonk Road
7799,,"₹ 60 Lac
₹ 3,333/sq.ft.",,"1,800 sq.ft.
(167 sq.m.) Plot Area",Residential land / Plot in Mahadev Nagar
7800,,"₹ 54.25 Cr
₹ 19,444/sq.ft.",,"27,900 sq.ft.
(2592 sq.m.) Plot Area",Residential land / Plot in Vaishali Nagar
7801,,"₹ 50 Lac
₹ 2,778/sq.ft.","8 BHK
4 Baths","1,800 sq.ft.
(167 sq.m.) Plot Area",8 Bedroom Independent House in Jagatpura
7802,Narayan Vihar,"₹ 78 Lac
₹ 1,560/sq.ft.",,"5,000 sq.ft.
(465 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
7803,,"₹ 71 Lac
₹ 3,652/sq.ft.",,"1,944 sq.ft.
(181 sq.m.) Plot Area",Residential land / Plot in Jagatpura
